subID,sex,age
100206,1,26-30
101006,0,31-35
101309,1,26-30
101915,0,31-35
102311,0,26-30
102513,1,26-30
103414,0,22-25
105115,1,31-35
106016,0,31-35
107321,0,22-25
107422,1,22-25
108222,1,31-35
109830,0,31-35
110411,1,31-35
110613,1,26-30
112112,1,26-30
112314,0,26-30
112920,1,31-35
113619,0,31-35
113922,1,31-35
118124,0,31-35
118528,0,26-30
119126,0,22-25
121416,1,26-30
122822,0,31-35
124422,0,31-35
124826,0,31-35
128632,0,31-35
129028,1,26-30
129129,0,31-35
129634,1,22-25
130013,1,26-30
131217,0,26-30
131823,1,26-30
132017,0,22-25
133019,0,26-30
134021,0,31-35
134223,0,26-30
134425,0,26-30
135528,0,26-30
135730,1,22-25
135932,0,26-30
137633,0,22-25
138231,0,31-35
139637,0,31-35
139839,1,26-30
140117,0,26-30
146129,1,22-25
146432,1,31-35
146533,1,26-30
146937,0,31-35
148133,0,26-30
149236,0,22-25
149337,1,31-35
149539,1,22-25
149842,0,31-35
150625,1,26-30
150928,1,22-25
151627,0,26-30
152831,1,26-30
153227,0,31-35
154229,0,22-25
154734,1,31-35
154835,0,31-35
154936,1,26-30
155938,1,26-30
158035,0,26-30
159239,0,31-35
161731,0,31-35
162733,0,26-30
164030,1,31-35
167238,0,31-35
169949,1,26-30
173435,0,26-30
173536,0,31-35
173738,1,31-35
173839,0,22-25
173940,0,26-30
174437,0,31-35
175237,0,31-35
175338,0,22-25
175742,0,31-35
176037,0,26-30
178950,1,31-35
179346,0,26-30
181232,0,26-30
183034,1,31-35
185139,0,31-35
185442,1,22-25
186141,1,31-35
186444,0,22-25
187345,0,31-35
188448,0,22-25
188549,1,22-25
191033,0,26-30
192035,0,26-30
192136,1,22-25
192843,1,26-30
194645,1,26-30
194746,1,31-35
195445,0,26-30
195849,1,22-25
195950,1,26-30
198855,1,26-30
199453,1,22-25
199958,1,31-35
200311,1,31-35
201111,1,26-30
202719,1,22-25
203418,1,26-30
203923,0,26-30
204319,0,26-30
204521,0,31-35
204622,0,26-30
205119,1,31-35
206222,1,26-30
208125,0,26-30
208327,1,26-30
209228,0,26-30
211215,1,26-30
211316,0,31-35
211922,0,26-30
212015,1,22-25
212419,0,26-30
214019,0,31-35
214221,0,22-25
214524,1,22-25
220721,1,26-30
228434,0,22-25
248339,1,26-30
250932,0,31-35
255639,0,26-30
257542,0,26-30
257845,1,26-30
268850,0,22-25
285446,1,31-35
297655,0,31-35
299154,1,22-25
300618,1,22-25
303119,0,26-30
309636,0,26-30
310621,0,31-35
316633,0,26-30
316835,0,26-30
318637,1,26-30
336841,1,26-30
361941,1,26-30
371843,0,31-35
377451,0,26-30
380036,1,26-30
381038,0,26-30
386250,1,22-25
387959,1,26-30
393550,1,26-30
395251,0,26-30
395756,0,31-35
397154,0,26-30
412528,0,31-35
414229,1,31-35
432332,0,31-35
436845,0,26-30
449753,1,22-25
459453,0,26-30
479762,1,22-25
499566,0,26-30
510326,0,26-30
517239,1,22-25
520228,1,22-25
524135,1,22-25
525541,0,26-30
529549,0,26-30
529953,1,26-30
530635,1,26-30
553344,0,31-35
555651,0,31-35
561444,1,22-25
567052,1,31-35
567961,0,22-25
568963,0,31-35
571144,1,22-25
573249,1,26-30
580044,0,26-30
580751,1,22-25
587664,0,26-30
597869,1,31-35
598568,1,26-30
599065,1,22-25
599671,1,26-30
604537,1,22-25
611938,1,22-25
616645,1,22-25
618952,1,22-25
622236,1,22-25
638049,0,31-35
645450,0,26-30
654350,0,26-30
654754,0,31-35
656253,1,26-30
656657,1,22-25
657659,0,22-25
660951,0,26-30
663755,0,22-25
664757,1,26-30
667056,1,22-25
679568,0,26-30
679770,1,26-30
690152,1,26-30
715950,0,26-30
724446,1,22-25
725751,1,26-30
729557,0,22-25
731140,0,31-35
744553,0,31-35
748258,0,22-25
749058,1,22-25
753150,1,22-25
756055,1,22-25
770352,0,26-30
782561,0,31-35
789373,1,26-30
800941,1,26-30
803240,1,22-25
812746,1,22-25
816653,0,22-25
820745,1,31-35
825048,0,31-35
833148,1,26-30
835657,0,31-35
837560,1,26-30
849264,0,31-35
849971,1,22-25
865363,1,22-25
872562,0,31-35
877269,0,22-25
894067,1,31-35
894774,1,26-30
899885,0,26-30
901442,0,26-30
912447,1,26-30
930449,0,22-25
952863,0,22-25
957974,0,26-30
987983,0,26-30
993675,0,26-30
994273,1,26-30
