subID,sex,age
HCD2606652,1,201
HCD1156036,1,254
HCD1227740,1,120
HCD2491257,0,165
HCD0026119,0,182
HCD0902343,0,116
HCD1976377,0,183
HCD0960458,0,236
HCD1756060,0,165
HCD1510432,0,239
HCD2008329,0,151
HCD0051825,0,218
HCD1765970,0,127
HCD2996590,1,237
HCD2046842,1,198
HCD2757370,1,172
HCD2449763,1,186
HCD1685164,0,158
HCD0889579,0,124
HCD0555146,1,157
HCD1946873,1,200
HCD2523345,0,120
HCD0848060,1,189
HCD0752855,0,240
HCD0383143,1,97
HCD1400728,1,153
HCD0248440,1,208
HCD0311118,0,194
HCD1501936,1,249
HCD0403224,0,205
HCD1013014,0,256
HCD1886881,1,154
HCD2499576,1,263
HCD0135831,1,141
HCD0271031,0,256
HCD1181843,1,184
HCD2594671,1,113
HCD1756262,1,233
HCD1870159,1,120
HCD0822850,0,188
HCD2786074,0,126
HCD0616342,0,167
HCD1411935,0,169
HCD1668164,1,227
HCD2383658,1,221
HCD0641341,1,166
HCD1978987,0,194
HCD0193845,0,106
HCD1783366,0,187
HCD1029837,1,147
HCD1012719,0,235
HCD1527045,0,203
HCD0528850,1,131
HCD2631954,1,164
HCD0571649,0,162
HCD0584860,1,222
HCD2864270,0,255
HCD0686666,0,104
HCD1202320,0,230
HCD0810035,1,212
HCD1871969,0,203
HCD0614237,0,228
HCD2254243,1,117
HCD0692964,1,242
HCD0605438,1,102
HCD2378463,1,168
HCD0899582,1,254
HCD1327744,1,128
HCD1456048,0,212
HCD2884175,0,175
HCD0755962,1,247
HCD1128738,1,258
HCD1433743,1,154
HCD2679073,0,250
HCD0721440,1,246
HCD2344244,0,116
HCD1983879,1,199
HCD0183539,1,221
HCD0392649,1,201
HCD2216437,0,196
HCD0197045,0,218
HCD1396662,1,131
HCD0259243,1,245
HCD0526644,1,178
HCD0858467,0,121
HCD1223833,1,232
HCD0789272,0,209
HCD1757062,1,213
HCD1622342,0,131
HCD0111716,0,147
HCD1948170,0,155
HCD2063034,0,191
HCD0236635,1,205
HCD1240530,0,167
HCD1934159,1,229
HCD0758867,0,140
HCD0627852,1,235
HCD0486254,0,213
HCD2655766,1,120
HCD1807051,0,180
HCD2901654,1,196
HCD1175343,0,254
HCD0471746,0,196
HCD1131222,1,230
HCD1491454,0,246
HCD1749770,0,247
HCD1371848,1,179
HCD1376252,1,257
HCD1578365,1,169
HCD1658969,1,178
HCD2820351,1,252
HCD0118528,0,166
HCD2223131,1,179
HCD1016929,1,262
HCD1664762,1,166
HCD2220428,0,161
HCD0143426,0,168
HCD1093139,0,188
HCD0504735,1,187
HCD2884377,0,118
HCD1363546,1,191
HCD0110411,0,181
HCD1462548,1,230
HCD2035635,0,247
HCD0536142,0,116
HCD0925759,0,154
HCD0534138,0,107
